reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,unique_pctg_ORDERED,num_images,n_bins
L2,0.05,1,0.1,0.1012,conv3,val,0.01,10000,10
L2,0.05,1,0.1,0.1012,fc1,train,0.004,25000,10
L2,0.05,1,0.1,0.1012,fc1,val,0.01,10000,10
L2,0.1,1,0.1,0.10088,conv1,train,0.004,25000,10
L2,0.1,1,0.1,0.10088,conv1,val,0.01,10000,10
L2,0.1,1,0.1,0.10088,conv3,train,0.004,25000,10
L2,0.1,1,0.1,0.10088,conv3,val,0.01,10000,10
L2,0.1,1,0.1,0.10088,fc1,train,0.004,25000,10
L2,0.1,1,0.1,0.10088,fc1,val,0.01,10000,10
L2,0.2,1,0.1,0.1012,conv1,train,0.004,25000,10
L2,0.2,1,0.1,0.1012,conv1,val,0.01,10000,10
L2,0.2,1,0.1,0.1012,conv3,train,0.004,25000,10
L2,0.2,1,0.1,0.1012,conv3,val,0.01,10000,10
L2,0.2,1,0.1,0.1012,fc1,train,0.004,25000,10
L2,0.2,1,0.1,0.1012,fc1,val,0.01,10000,10
